Layer,	Cycles,	% Utilization, MACs
Conv1,	7561,	82.80905592521968,	332667,
Conv2,	45900,	167.89930555555554,	3484800,
Conv3,	9171,	97.12953876349361,	401408,
Conv4,	21504,	182.87295386904762,	1742400,
Conv5,	5369,	93.75814863103,	200704,
Conv6,	41220,	190.5267467248908,	3359232,
Conv7,	11315,	96.18868758285461,	401408,
Conv8,	10368,	189.84375,	839808,
Conv9,	3724,	83.51067400644469,	100352,
Conv10,	20736,	176.04166666666669,	1557504,
Conv11,	4888,	159.5693535188216,	200704,
Conv12,	6912,	132.03125,	389376,
Conv13,	1790,	153.125,	50176,
Conv14,	13824,	112.5,	663552,
Conv15,	3580,	153.125,	100352,
Conv16,	13824,	112.5,	663552,
Conv17,	3580,	153.125,	100352,
Conv18,	13824,	112.5,	663552,
Conv19,	3580,	153.125,	100352,
Conv20,	13824,	112.5,	663552,
Conv21,	3580,	153.125,	100352,
Conv22,	13824,	112.5,	663552,
Conv23,	3580,	153.125,	100352,
Conv24,	10512,	28.125,	165888,
Conv25,	5312,	38.28125,	25088,
Conv26,	19080,	7.03125,	82944,
Conv27,	10624,	38.28125,	50176,
